12;1;1;45;113;23;0;0;0;0;0;0;0;0
3;4;1;45;113;23;0;0;0;0;0;0;0;0
0;1;0;0;5;1;0;0;0;0;0;0;0;0
0;2;1;45;113;23;0;0;0;0;0;0;0;0
0;4;1;45;113;23;0;0;0;0;0;0;0;0
10;3;1;45;113;23;1;1;5;0;0;0;1;0
0;2;0;1;19;4;0;0;0;0;0;0;0;0
0;2;0;1;19;4;0;0;0;0;0;0;0;0
12;5;1;45;113;23;0;0;0;0;0;0;0;0
0;1;1;45;113;23;0;0;0;0;0;0;0;0
5;3;1;45;113;23;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;45;113;23;1;0;0;0;0;0;0;0
0;6;1;4;21;25;2;2;25;0;0;0;0;0
0;5;1;4;21;25;0;0;0;0;0;0;0;0
0;3;1;4;21;25;0;0;0;0;0;0;0;0
0;5;1;4;21;25;0;0;0;0;0;0;0;0
0;2;1;4;21;25;2;2;18;0;0;0;0;0
0;4;1;4;21;25;0;0;0;0;0;0;0;0
0;1;1;4;21;25;1;0;0;0;0;0;0;0
0;1;1;4;21;25;1;0;0;0;0;0;0;0
0;1;1;4;21;25;1;0;0;0;0;0;0;0
0;1;1;4;21;25;1;0;0;0;0;0;0;0
0;4;0;3;10;6;0;0;0;0;0;0;0;0
0;1;0;3;10;6;0;0;0;0;0;0;0;0
0;1;0;3;10;6;1;1;25;0;0;0;0;0
0;1;0;3;10;6;1;0;0;0;0;0;0;0
0;2;2;1;8;6;0;0;0;0;0;0;0;0
6;4;2;1;8;6;0;0;0;0;0;0;0;0
0;8;0;0;14;16;0;0;0;0;0;0;0;0
0;8;0;0;14;16;0;0;0;0;0;0;0;0
0;3;0;22;70;41;0;0;0;0;0;0;0;0
0;1;0;22;70;41;2;2;33;0;0;0;0;0
0;1;0;22;70;41;0;0;0;0;0;0;0;0
0;5;0;22;70;41;1;1;4;0;0;0;0;0
20;3;0;22;70;41;0;0;0;0;0;0;0;0
0;12;0;22;70;41;0;0;0;0;0;0;0;0
3;7;0;22;70;41;2;2;6;0;3;0;1;0
0;4;0;22;70;41;0;0;0;0;0;0;0;0
0;5;0;22;70;41;0;0;0;0;0;0;0;0
0;1;0;22;70;41;1;0;0;0;0;0;0;0
0;1;0;22;70;41;1;0;0;0;0;0;0;0
0;1;0;22;70;41;1;0;0;0;0;0;0;0
0;1;0;22;70;41;1;0;0;0;1;0;0;0
0;1;0;22;70;41;1;0;0;0;2;0;0;0
0;1;2;4;36;22;0;0;0;0;0;0;0;0
0;4;2;4;36;22;1;1;4;0;0;0;1;0
0;9;2;4;36;22;0;0;0;0;0;0;0;0
0;3;2;4;36;22;0;0;0;0;0;0;0;0
5;5;2;4;36;22;0;0;0;0;0;0;0;0
0;2;2;4;36;22;1;0;0;0;0;0;0;0
0;2;1;10;10;8;0;0;0;0;0;0;0;0
0;1;1;10;10;8;0;0;0;0;0;0;0;0
0;1;1;10;10;8;0;0;0;0;0;0;0;0
0;3;1;10;10;8;0;0;0;0;0;0;0;0
0;1;1;10;10;8;0;0;0;0;0;0;0;0
0;2;11;21;48;23;0;0;0;0;0;0;0;0
0;2;11;21;48;23;0;0;0;0;0;0;0;0
0;4;11;21;48;23;0;0;0;0;0;0;0;0
0;1;11;21;48;23;0;0;0;0;0;0;0;0
0;1;11;21;48;23;0;0;0;0;0;0;0;0
0;3;11;21;48;23;1;1;5;0;1;0;0;0
0;10;11;21;48;23;0;0;0;0;0;0;0;0
0;2;2;0;3;2;0;0;0;0;0;0;0;0
0;1;11;21;48;23;1;0;0;0;1;0;0;0
0;1;0;13;61;29;1;1;20;0;0;0;0;0
0;1;0;13;61;29;3;3;42;0;0;0;0;0
0;1;0;13;61;29;2;2;33;0;0;0;0;0
0;1;0;13;61;29;2;2;33;0;0;0;0;0
0;1;0;13;61;29;4;4;57;0;0;0;0;0
6;3;0;13;61;29;1;1;7;0;0;0;0;0
0;3;0;13;61;29;0;0;0;0;0;0;0;0
0;8;0;13;61;29;12;12;17;0;0;0;0;0
1;12;0;13;61;29;0;0;0;0;0;0;0;0
0;1;0;13;61;29;0;0;0;0;0;0;0;0
0;2;0;13;61;29;1;1;20;1;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;2;1;100;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;0;0;0;0;0
0;1;0;13;61;29;1;0;0;1;0;0;0;0
0;3;0;3;11;11;0;0;0;0;0;0;0;0
0;6;0;3;11;11;2;2;13;0;4;0;0;0
0;2;0;3;11;11;0;0;0;0;0;0;0;0
0;2;0;3;11;11;1;0;0;0;2;0;0;0
0;2;0;3;11;11;1;0;0;0;2;0;0;0
0;3;0;3;11;13;0;0;0;0;0;0;0;0
0;7;0;3;11;13;2;2;10;0;4;0;0;0
0;3;0;3;11;13;0;0;0;0;0;0;0;0
0;2;0;3;11;13;1;0;0;0;2;0;0;0
0;2;0;3;11;13;1;0;0;0;2;0;0;0
0;3;0;8;32;40;0;0;0;0;0;0;0;0
0;16;0;8;32;40;1;1;2;0;0;0;0;0
0;6;0;8;32;40;0;0;0;0;0;0;0;0
2;10;0;8;32;40;0;0;0;0;0;0;0;0
5;5;0;8;32;40;0;0;0;0;0;0;0;0
0;1;0;8;32;40;1;0;0;0;0;0;0;0
0;2;0;0;24;25;0;0;0;0;0;0;0;0
0;1;0;0;24;25;0;0;0;0;0;0;0;0
0;1;0;0;24;25;0;0;0;0;0;0;0;0
0;5;0;0;24;25;0;0;0;0;0;0;0;0
0;1;0;0;24;25;0;0;0;0;0;0;0;0
0;3;0;0;24;25;0;0;0;0;0;0;0;0
0;8;0;0;24;25;0;0;0;0;0;0;0;0
0;3;0;0;24;25;0;0;0;0;0;0;0;0
0;1;0;0;24;25;0;0;0;0;0;0;0;0
0;1;0;1;6;7;1;1;12;0;0;0;0;0
0;6;0;1;6;7;0;0;0;0;0;0;0;0
0;1;0;1;6;7;1;0;0;0;0;0;0;0
0;3;0;3;11;11;0;0;0;0;0;0;0;0
0;6;0;3;11;11;2;2;13;0;4;0;0;0
0;2;0;3;11;11;0;0;0;0;0;0;0;0
0;2;0;3;11;11;1;0;0;0;2;0;0;0
0;2;0;3;11;11;1;0;0;0;2;0;0;0
0;3;0;3;11;13;0;0;0;0;0;0;0;0
0;7;0;3;11;13;2;2;10;0;4;0;0;0
0;3;0;3;11;13;0;0;0;0;0;0;0;0
0;2;0;3;11;13;1;0;0;0;2;0;0;0
0;2;0;3;11;13;1;0;0;0;2;0;0;0
0;2;0;13;38;40;0;0;0;0;0;0;0;0
0;17;0;13;38;40;1;1;1;0;0;0;0;0
0;1;0;13;38;40;0;0;0;0;0;0;0;0
3;15;0;13;38;40;0;0;0;0;0;0;0;0
0;3;0;13;38;40;0;0;0;0;0;0;0;0
0;2;0;13;38;40;0;0;0;0;0;0;0;0
0;1;0;13;38;40;1;0;0;0;0;0;0;0
0;2;0;4;28;21;0;0;0;0;0;0;0;0
0;2;0;4;28;21;1;1;9;0;1;0;0;0
1;17;0;4;28;21;0;0;0;0;0;0;0;0
0;1;1;0;4;1;0;0;0;0;0;0;0;0
0;1;0;4;28;21;1;0;0;0;1;0;0;0
0;2;0;6;31;31;0;0;0;0;0;0;0;0
0;17;0;6;31;31;1;1;1;0;0;0;0;0
0;1;0;6;31;31;0;0;0;0;0;0;0;0
0;11;0;6;31;31;0;0;0;0;0;0;0;0
0;1;0;6;31;31;1;0;0;0;0;0;0;0
0;3;0;3;11;11;0;0;0;0;0;0;0;0
0;6;0;3;11;11;2;2;13;0;4;0;0;0
0;2;0;3;11;11;0;0;0;0;0;0;0;0
0;2;0;3;11;11;1;0;0;0;2;0;0;0
0;2;0;3;11;11;1;0;0;0;2;0;0;0
0;3;0;3;11;13;0;0;0;0;0;0;0;0
0;7;0;3;11;13;2;2;10;0;4;0;0;0
0;3;0;3;11;13;0;0;0;0;0;0;0;0
0;2;0;3;11;13;1;0;0;0;2;0;0;0
0;2;0;3;11;13;1;0;0;0;2;0;0;0
0;1;0;6;23;30;0;0;0;0;0;0;0;0
0;3;0;6;23;30;0;0;0;0;0;0;0;0
0;13;0;6;23;30;0;0;0;0;0;0;0;0
0;2;0;6;23;30;0;0;0;0;0;0;0;0
0;4;0;6;23;30;0;0;0;0;0;0;0;0
0;3;0;6;23;30;0;0;0;0;0;0;0;0
0;4;0;6;23;30;0;0;0;0;0;0;0;0
0;2;0;3;8;12;0;0;0;0;0;0;0;0
0;3;0;3;8;12;0;0;0;0;0;0;0;0
0;7;0;3;8;12;0;0;0;0;0;0;0;0
0;16;0;10;28;34;1;1;2;0;0;0;0;0
0;1;0;10;28;34;0;0;0;0;0;0;0;0
2;12;0;10;28;34;0;0;0;0;0;0;0;0
0;2;0;10;28;34;0;0;0;0;0;0;0;0
0;3;0;10;28;34;0;0;0;0;0;0;0;0
0;1;0;10;28;34;1;0;0;0;0;0;0;0
0;2;0;21;100;84;1;1;16;0;1;0;0;0
0;6;0;21;100;84;0;0;0;0;0;0;0;0
0;24;0;21;100;84;0;0;0;0;0;0;0;0
0;8;0;21;100;84;0;0;0;0;0;0;0;0
0;2;0;21;100;84;1;1;6;0;1;0;0;0
23;15;0;21;100;84;0;0;0;0;0;0;0;0
0;4;0;21;100;84;0;0;0;0;0;0;0;0
0;13;0;21;100;84;0;0;0;0;0;0;0;0
0;10;0;21;100;84;0;0;0;0;0;0;0;0
0;39;0;21;100;84;0;0;0;0;0;0;0;0
0;1;0;21;100;84;0;0;0;0;0;0;0;0
0;2;1;1;6;4;0;0;0;0;0;0;0;0
0;2;1;1;6;4;0;0;0;0;0;0;0;0
0;2;0;21;100;84;1;0;0;0;1;0;0;0
0;4;0;3;9;9;1;1;16;0;0;0;0;0
0;1;0;3;9;9;0;0;0;0;0;0;0;0
0;4;0;3;9;9;0;0;0;0;0;0;0;0
0;1;0;3;9;9;1;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0;0
0;4;0;3;5;8;1;1;16;0;0;0;0;0
0;1;0;3;5;8;0;0;0;0;0;0;0;0
0;3;0;3;5;8;0;0;0;0;0;0;0;0
0;1;0;3;5;8;1;0;0;0;0;0;0;0
10;6;3;1;20;10;1;1;5;0;0;0;0;0
0;4;3;1;20;10;0;0;0;0;0;0;0;0
0;1;3;1;20;10;1;0;0;0;0;0;0;0
0;3;3;0;11;3;1;1;8;0;0;0;0;0
0;1;3;0;11;3;1;0;0;0;0;0;0;0
0;3;3;0;11;3;1;1;8;0;0;0;0;0
0;1;3;0;11;3;1;0;0;0;0;0;0;0
0;3;3;0;9;3;1;1;8;0;0;0;0;0
0;1;3;0;9;3;1;0;0;0;0;0;0;0
11;5;3;0;15;5;1;1;6;0;0;0;0;0
0;1;3;0;15;5;1;0;0;0;0;0;0;0
0;3;3;0;11;3;1;1;8;0;0;0;0;0
0;1;3;0;11;3;1;0;0;0;0;0;0;0
0;2;2;62;89;34;0;0;0;0;0;0;0;0
0;2;2;62;89;34;0;0;0;0;0;0;0;0
27;7;2;62;89;34;0;0;0;0;0;0;0;0
0;2;2;62;89;34;0;0;0;0;0;0;0;0
